city,district,neighborhood,prop_type,rooms,living_room,price,last_edit,area,prop_floor,building_age,heating_type,building_floors,credit_availability,furniture_availability,bathrooms,building_type,building_status,usage_status,deed,dues,swap,student_single,facade,fuel_type
İstanbul,Şişli,Mecidiyeköy,Daire,3,1,600.000 TL,3 Gün Önce,110 m2,1. Kat,25 Yaşında,Merkezi,6 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,40 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Avcılar,Mustafa Kemal Paşa,Daire,4,2,515.000 TL,3 Gün Önce,150 m2,,Sıfır Bina,Kombi,,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,Evet,"Kuzey,",Doğalgaz
İstanbul,Kadıköy,Caddebostan,Daire,2,1,1.600.000 TL,5 Gün Önce,100 m2,1. Kat,Sıfır Bina,Kombi,11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,,Güney,Doğalgaz
İstanbul,Sarıyer,Maslak,Residence,1,1,1.100.000 TL,3 Gün Önce,85 m2,15. Kat,2 Yaşında,Merkezi (Pay Ölçer),32 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Evet,"Güney,",Doğalgaz
İstanbul,Şişli,Teşvikiye,Daire,3,1,3.450.000 TL,29 Gün Önce,165 m2,6. Kat,8 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Evet,Kuzey,Doğalgaz
İstanbul,Esenyurt,Örnek,Daire,3,1,320.000 TL,18 Gün Önce,120 m2,En Üst Kat,6 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,,20 TL,Hayır,Evet,,
İstanbul,Sarıyer,Maslak,Residence,3,1,2.550.000 TL,3 Gün Önce,218 m2,20. Kat,5 Yaşında,Merkezi (Pay Ölçer),32 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,850 TL,Hayır,Evet,"Kuzey,",Doğalgaz
İstanbul,Beşiktaş,Mecidiye,Villa,6,3,11.000.000 TL,Dün,480 m2,Villa Katı,22 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,4,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Maltepe,İdealtepe,Daire,6,2,1.190.000 TL,Dün,250 m2,4. Kat,7 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,Evet,Doğu,Doğalgaz
İstanbul,Beylikdüzü,Cumhuriyet,Daire,2,1,848.000 TL,Bugün,119 m2,9. Kat,4 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Uygun,Eşyalı Değil,2,Kagir,Sıfır,Ev Sahibi Oturuyor,Kat Mülkiyeti,270 TL,Hayır,Evet,"Kuzey,",Doğalgaz
İstanbul,Kadıköy,Fenerbahçe,Daire,3,1,3.450.000 TL,6 Gün Önce,200 m2,6. Kat,Sıfır Bina,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,400 TL,Hayır,Evet,Güney,Doğalgaz
İstanbul,Kadıköy,Fenerbahçe,Daire,3,1,1.650.000 TL,4 Gün Önce,120 m2,7. Kat,4 Yaşında,Kombi,12 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,250 TL,,,Doğu,Doğalgaz
İstanbul,Şişli,Bozkurt,Daire,3,1,820.000 TL,3 Gün Önce,150 m2,1. Kat,30 Yaşında,Merkezi,6 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Evet,,Doğalgaz
İstanbul,Maltepe,Aydınevler,Daire,2,2,520.000 TL,Bugün,160 m2,4. Kat,3 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,80 TL,Hayır,,Doğu,Doğalgaz
İstanbul,Beykoz,Acarlar,Villa,6,2,29.000.000 TL,Dün,650 m2,Villa Katı,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,5,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Bakırköy,Yeşilköy,Daire,3,1,3.100.000 TL,6 Gün Önce,150 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Kiracı Oturuyor,Kat Mülkiyeti,150 TL,Hayır,,"Güney,",Doğalgaz
İstanbul,Kağıthane,Çeliktepe,Daire,2,1,325.000 TL,3 Gün Önce,90 m2,3. Kat,20 Yaşında,Kombi,5 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Arsa,50 TL,Hayır,Evet,,Doğalgaz
İstanbul,Kartal,Orta,Bina,1,1,35.000.000 TL,19 Gün Önce,37.000 m2,,Sıfır Bina,Kombi,,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,10 TL,Hayır,Evet,"Kuzey,",Doğalgaz
İstanbul,Ümraniye,Tepeüstü,Residence,1,1,900.000 TL,5 Gün Önce,81 m2,9. Kat,8 Yaşında,Merkezi,24 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Evet,Güney,Doğalgaz
İstanbul,Maltepe,Aydınevler,Daire,2,1,385.000 TL,Bugün,90 m2,Giriş Katı,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Evet,Batı,Doğalgaz
İstanbul,Maltepe,Altıntepe,Daire,2,1,850.000 TL,5 Gün Önce,100 m2,Giriş Katı,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Evet,Güney,Doğalgaz
İstanbul,Kadıköy,Fenerbahçe,Daire,4,2,4.000.000 TL,4 Gün Önce,240 m2,8. Kat,5 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,,"Güney,",Doğalgaz
İstanbul,Üsküdar,Sultantepe,Daire,2,1,480.000 TL,12 Gün Önce,85 m2,1. Kat,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,,"Güney,",Doğalgaz
İstanbul,Adalar,Maden,Daire,3,1,990.000 TL,11 Gün Önce,130 m2,3. Kat,30 Yaşında,Isıtma Yok,3 Katlı,Uygun,Eşyalı,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,300 TL,Hayır,,"Kuzey,",
İstanbul,Küçükçekmece,Yeni Mahalle,Daire,3,1,620.000 TL,13 Gün Önce,125 m2,2. Kat,2 Yaşında,Kombi,15 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,160 TL,Hayır,,Kuzey,Doğalgaz
İstanbul,Fatih,Şehremini,Daire,1,1,210.000 TL,Bugün,65 m2,Bodrum,25 Yaşında,Isıtma Yok,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Evet,Güney,Doğalgaz
İstanbul,Kadıköy,Erenköy,Daire,3,1,1.800.000 TL,5 Gün Önce,120 m2,8. Kat,Sıfır Bina,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Evet,Güney,Doğalgaz
İstanbul,Üsküdar,Ünalan,Daire,2,1,385.000 TL,5 Gün Önce,90 m2,1. Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,30 TL,Evet,,Doğu,Doğalgaz
İstanbul,Avcılar,Denizköşkler,Daire,2,1,400.000 TL,11 Gün Önce,85 m2,Bodrum,5 Yaşında,Güneş Enerjisi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kiracı Oturuyor,Kat İrtifakı,30 TL,Hayır,,Kuzey,Doğalgaz
İstanbul,Bakırköy,Sakızağacı,Daire,4,1,7.000.000 TL,9 Gün Önce,310 m2,Bahçe Katı,Sıfır Bina,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,,,Doğalgaz
İstanbul,Maltepe,Aydınevler,Daire,3,2,840.000 TL,Dün,180 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,80 TL,Hayır,,Güney,Doğalgaz
İstanbul,Kadıköy,Erenköy,Daire,4,1,1.875.000 TL,5 Gün Önce,220 m2,6. Kat,21 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,,,,Doğalgaz
İstanbul,Maltepe,İdealtepe,Daire,6,2,2.800.000 TL,Bugün,260 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat İrtifakı,100 TL,Hayır,,Güney,Doğalgaz
İstanbul,Beşiktaş,Vişnezade,Residence,7,1,75.000.000 TL,Dün,1.138 m2,7. Kat,8 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,6,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Sarıyer,Ayazağa,Residence,3,1,3.300.000 TL,3 Gün Önce,185 m2,13. Kat,4 Yaşında,Merkezi (Pay Ölçer),20 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,850 TL,Hayır,Evet,"Kuzey,",Elektrik
